
==================================================
ROZPOCZYNAM EKSPERYMENT 1: ARCHITEKTURA
==================================================

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 8}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 8 Dropout 0.2 ---
!!!     [Brak poprawy: 11/20]   !!!
Epoka [13/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000842
!!!     [Brak poprawy: 12/20]   !!!
Epoka [14/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000819
!!!     [Brak poprawy: 13/20]   !!!
Epoka [15/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000794
!!!     [Brak poprawy: 14/20]   !!!
Epoka [16/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000768
!!!     [Brak poprawy: 15/20]   !!!
Epoka [17/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000741
!!!     [Brak poprawy: 16/20]   !!!
Epoka [18/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000713
!!!     [Brak poprawy: 17/20]   !!!
Epoka [19/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000684
!!!     [Brak poprawy: 18/20]   !!!
Epoka [20/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000655
!!!     [Brak poprawy: 19/20]   !!!
Epoka [21/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000625
!!!     [Brak poprawy: 20/20]   !!!
!!! Early Stopping: Model przestał się poprawiać po 21 epokach. !!!
-> Wynik (Val): 32.42% | (Train): 34.74%

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 128}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 128 Dropout 0.2 ---
Epoka [1/50]    |  Train Acc: 35.20%  |  Val Acc: 32.42%  |  LR: 0.000999
Epoka [2/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000996
!!!     [Brak poprawy: 1/20]    !!!
Epoka [3/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000991
!!!     [Brak poprawy: 2/20]    !!!
Epoka [4/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000984
!!!     [Brak poprawy: 3/20]    !!!
Epoka [5/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000976
!!!     [Brak poprawy: 4/20]    !!!
Epoka [6/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000965
!!!     [Brak poprawy: 5/20]    !!!
Epoka [7/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000952
!!!     [Brak poprawy: 6/20]    !!!
Epoka [8/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000938
!!!     [Brak poprawy: 7/20]    !!!
Epoka [9/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000922
!!!     [Brak poprawy: 8/20]    !!!
Epoka [10/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000905
!!!     [Brak poprawy: 9/20]    !!!
Epoka [11/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000885
!!!     [Brak poprawy: 10/20]   !!!
Epoka [12/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000865
!!!     [Brak poprawy: 11/20]   !!!
Epoka [13/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000842
!!!     [Brak poprawy: 12/20]   !!!
Epoka [14/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000819
!!!     [Brak poprawy: 13/20]   !!!
Epoka [15/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000794
!!!     [Brak poprawy: 14/20]   !!!
Epoka [16/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000768
!!!     [Brak poprawy: 15/20]   !!!
Epoka [17/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000741
!!!     [Brak poprawy: 16/20]   !!!
Epoka [18/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000713
!!!     [Brak poprawy: 17/20]   !!!
Epoka [19/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000684
!!!     [Brak poprawy: 18/20]   !!!
Epoka [20/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000655
!!!     [Brak poprawy: 19/20]   !!!
Epoka [21/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000625
!!!     [Brak poprawy: 20/20]   !!!
!!! Early Stopping: Model przestał się poprawiać po 21 epokach. !!!
-> Wynik (Val): 32.42% | (Train): 34.74%

